Class,Day,Date,Description
Session 01,Tue,44068,Usual Class (1:00 to 2:15 PM Eastern Time)
Session 02,Thu,44070,Usual Class
Session 03,Tue,44075,Dr. Love may be away (To be Determined)
Session 04,Thu,44077,Dr. Love may be away (To be Determined)
Session 05,Tue,44082,Usual Class
Session 06,Thu,44084,Usual Class
Session 07,Tue,44089,Usual Class
Session 08,Thu,44091,Usual Class
Session 09,Tue,44096,Usual Class
Session 10,Thu,44098,Usual Class
Session 11,Tue,44103,Usual Class
Session 12,Thu,44105,Usual Class
Session 13,Tue,44110,Usual Class
Session 14,Thu,44112,Usual Class
Session 15,Tue,44117,Usual Class
No Class,Thu,44119,Dr. Love will be away (AHRQ Study Section)
Session 16,Tue,44124,Usual Class
Session 17,Thu,44126,Usual Class
Session 18,Tue,44131,Usual Class
Session 19,Thu,44133,Usual Class
Session 20,Tue,44138,US Election Day
Session 21,Thu,44140,Usual Class
Session 22,Tue,44145,Usual Class
Session 23,Thu,44147,Usual Class
Session 24,Tue,44152,Usual Class
Session 25,Thu,44154,Usual Class
No Class,Tue,44159,CWRU Holiday (Thanksgiving Week)
No Class,Thu,44161,CWRU Holiday (Thanksgiving Week)
Session 26,Tue,44166,Usual Class
Session 27,Thu,44168,Usual Class
